	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11
KIAA1324L	11.6972743820966	11.4003211802034	11.1313938233164	11.5687058190413	11.1148190262169	10.9991875777764	10.8840161745986	10.6302025244663	11.2915735376058	11.1177232130238	10.4142960525853
MARCH8	11.8801747111051	11.9211533435049	11.9262872266318	11.7435870720187	11.5961274853003	11.7704272853473	12.002417725951	11.2938119714876	12.1187369407435	11.8399325530283	11.4889655196473
TRIM68	10.0146249108775	9.30462076378283	9.54191230545986	10.3235362537005	9.88873117498885	10.1907109541921	9.48409603381516	9.4887746323234	9.54066082560763	9.48686594633204	10.1002532140449
CACNB3	8.96992510340665	8.63418892087232	8.51795240651568	8.63250116275808	9.42183368617678	8.43353059985206	8.98829149664238	8.7409616559202	9.12287271531275	9.28041506886461	11.0804586707679
SEMA6B	10.4575121930832	9.51786480290509	9.0913640445654	10.5401777540498	7.82248009315	10.448937100629	10.3890630799704	9.09341461782103	10.8871112396291	10.1594627213785	8.56872997228516
ZNF444	8.79873845340042	8.67426636024766	9.10061212136742	9.19234969374168	9.71264149402673	8.32320718494606	9.55206866747291	7.96723751174388	10.0838031506342	9.57175484391855	11.3534242969316
PDHB	11.9276968680174	11.5745542210319	11.8907445840489	11.6631307167836	10.9996185848249	11.798188960558	12.1016641257374	11.5967508187681	11.2467966491381	11.4846783870943	10.3083162666105
PXK	10.725933145464	11.3883236471038	10.4953418948564	11.3131505151392	11.1670096169745	10.6716422335828	10.3535851846157	10.7567536279638	10.6247250903961	10.9439109721325	10.2711860360248
HIST1H1E	12.7851852235496	12.9325581067771	12.6013490245531	12.4557729437064	13.3967819578427	11.9073732765711	13.0887265295747	13.1691242776457	12.6218056390642	12.7724923428097	12.088866453743
IRF2	10.8072332475659	10.8375886268657	10.8371167169546	10.7755332854324	11.4316449421968	11.1414401607342	11.1683069440883	10.9098781323016	10.8275419733958	10.6635755523415	10.8004602582009
